seq,camera_x,camera_y,camera_z,scaled_camera_x,scaled_camera_y,scaled_camera_z,qx,qy,qz,qw,t_wc_x,t_wc_y,t_wc_z
26,-7.480974674,0.004960997,19.882633209,-1.492222548,0.000989565,3.965968847,-0.000140671,-0.664628029,-0.000009224,0.747174501,-18.875045776,0.000473629,-9.747958183
27,-8.476950645,-0.002290659,19.988887787,-1.690888882,-0.000456915,3.987163544,-0.000380166,-0.664455175,-0.000122576,0.747328162,-18.859531403,0.016225735,-10.758188248
28,-9.472368240,-0.002192311,20.103403091,-1.889443874,-0.000437298,4.010005951,-0.000430213,-0.664409697,-0.000092410,0.747368455,-18.855373383,0.019372029,-11.762399673
29,-10.470611572,-0.006452939,20.211462021,-2.088562489,-0.001287161,4.031559944,-0.000555140,-0.664274693,-0.000172725,0.747488320,-18.841165543,0.029012352,-12.773158073
30,-11.462341309,-0.015003545,20.323488235,-2.286381721,-0.002992742,4.053905964,-0.000905117,-0.664053202,-0.000521997,0.747684598,-18.827751160,0.051145896,-13.782223701
31,-12.448147774,-0.013234728,20.434980392,-2.483019590,-0.002639918,4.076145172,-0.000935447,-0.664082587,-0.000507289,0.747658610,-18.823236465,0.052957326,-14.772765160
32,-13.440690994,0.003069889,20.563135147,-2.681001186,0.000612348,4.101707935,-0.000352782,-0.664451003,0.000015730,0.747331738,-18.848932266,0.014183807,-15.754942894
33,-14.439722061,-0.004800743,20.686092377,-2.880276918,-0.000957599,4.126234055,-0.000614890,-0.664535642,-0.000213189,0.747256339,-18.857942581,0.034347042,-16.757148743
34,-15.438719749,-0.000994368,20.809133530,-3.079545975,-0.000198346,4.150776863,-0.000371200,-0.664656162,-0.000093264,0.747149289,-18.869215012,0.019722417,-17.757551193
35,-16.422870636,-0.013397719,20.901805878,-3.275853634,-0.002672430,4.169262409,-0.000995195,-0.664391398,-0.000420269,0.747384012,-18.832859039,0.064845078,-18.759647369
36,-17.418651581,0.002130542,21.018989563,-3.474481106,0.000424977,4.192636967,-0.000614945,-0.664744079,-0.000039908,0.747070909,-18.850271225,0.031311899,-19.745475769
37,-18.433126450,0.002561865,21.138988495,-3.676837206,0.000511013,4.216572762,-0.000612700,-0.664902151,-0.000221426,0.746930182,-18.858007431,0.031610016,-20.760709763
38,-19.445421219,-0.038720448,21.237455368,-3.878758669,-0.007723529,4.236214161,-0.001534111,-0.664441884,-0.000912918,0.747337818,-18.811834335,0.127794504,-21.799423218
39,-20.439643860,-0.039914362,21.353719711,-4.077075481,-0.007961678,4.259405136,-0.001685502,-0.664475381,-0.001018584,0.747307599,-18.813076019,0.141667783,-22.797674179
40,-21.514499664,-0.038615931,21.412918091,-4.291475773,-0.007702681,4.271213531,-0.001709722,-0.664662838,-0.001179112,0.747140527,-18.750829697,0.146427423,-23.862232208
41,-22.520563126,-0.047024012,21.538635254,-4.492154121,-0.009379833,4.296289921,-0.001899748,-0.664987743,-0.001436719,0.746850491,-18.780393600,0.172083870,-24.856655121
42,-23.526504517,-0.039784417,21.616744995,-4.692808151,-0.007935758,4.311870575,-0.001641474,-0.664273083,-0.001451554,0.747486770,-18.692592621,0.153325021,-25.897596359
43,-24.545549393,-0.122781940,21.748058319,-4.896076202,-0.024491191,4.338063240,-0.003469699,-0.664551973,-0.003085983,0.747227728,-18.723972321,0.372710437,-26.905910492
44,-25.532560349,-0.105849050,21.846260071,-5.092954159,-0.021113604,4.357651711,-0.003484037,-0.664142311,-0.002981005,0.747592032,-18.675970078,0.365039766,-27.915225983
45,-26.527648926,-0.080620483,21.980400085,-5.291443825,-0.016081287,4.384408474,-0.002990851,-0.664573550,-0.002625861,0.747212410,-18.725372314,0.311560512,-28.895420074
46,-27.568862915,-0.143541545,22.087514877,-5.499133587,-0.028632088,4.405774593,-0.004652408,-0.664486468,-0.004188678,0.747274041,-18.704240799,0.517144382,-29.940240860
47,-28.525657654,-0.072268158,22.206239700,-5.689984322,-0.014415258,4.429456234,-0.003077569,-0.664404988,-0.003117794,0.747359931,-18.703371048,0.331805170,-30.908292770
48,-29.570922852,-0.067645997,22.282405853,-5.898482323,-0.013493279,4.444649220,-0.003240795,-0.663453639,-0.003350090,0.748202860,-18.575778961,0.351818889,-31.999063492
49,-30.572963715,-0.273970574,22.311920166,-6.098358631,-0.054648638,4.450536251,-0.008938722,-0.661981106,-0.008318174,0.749421060,-18.359836578,1.070083261,-33.049930573
50,-31.545944214,-0.215255097,22.482910156,-6.292438030,-0.042936720,4.484643459,-0.008003172,-0.662946939,-0.008028235,0.748580575,-18.497030258,0.959056139,-33.989822388
51,-32.448081970,-0.311309338,22.569509506,-6.472386360,-0.062096562,4.501917362,-0.012206213,-0.633915722,-0.010787243,0.773230612,-15.769025803,1.471822739,-36.179931641
52,-32.448299408,-0.149791583,22.972911835,-6.472429752,-0.029878777,4.582383633,-0.006385876,-0.558764458,-0.007872060,0.829264522,-9.126914978,0.845680892,-38.654701233
53,-32.525138855,-0.047321800,23.157148361,-6.487756729,-0.009439232,4.619132996,-0.003649776,-0.471971095,-0.003869421,0.881597996,-1.272201777,0.445275694,-39.873146057
54,-32.539779663,-0.004679229,23.413503647,-6.490677357,-0.000933361,4.670268059,-0.002176443,-0.381249696,-0.003278323,0.924463749,6.525848866,0.291090101,-39.521442413
55,-32.503566742,0.017155632,23.586233139,-6.483453751,0.003422017,4.704722404,-0.001222308,-0.284742981,-0.001673365,0.958601713,14.295739174,0.142130271,-37.497100830
56,-32.325477600,0.029260866,23.823280334,-6.447930813,0.005836636,4.752006054,-0.001066671,-0.190498129,-0.002563407,0.981683552,21.001249313,0.172669068,-34.192459106
57,-32.483444214,0.065226860,24.782682419,-6.479440212,0.013010737,4.943377018,-0.000223447,-0.143326908,-0.002902399,0.989671111,24.049962997,0.113124490,-32.996925354
58,-32.750183105,0.057143521,25.801551819,-6.532646179,0.011398361,5.146609783,0.000120795,-0.144614041,-0.001930378,0.989486217,23.929445267,0.045642123,-34.112167358
59,-33.121231079,0.005945913,26.751415253,-6.606658936,0.001186025,5.336078167,-0.002400001,-0.141865462,-0.002775543,0.989879191,24.207500458,0.304326624,-34.994197845
60,-33.422286987,0.064795271,27.725204468,-6.666710377,0.012924648,5.530318737,0.000316682,-0.139833778,-0.003125846,0.990169942,24.371944427,0.096719533,-35.914794922
61,-33.796760559,0.079511642,28.682563782,-6.741405964,0.015860109,5.721282482,0.000953486,-0.136229336,-0.003953185,0.990668952,24.735229492,0.090347156,-36.759845734
62,-34.005035400,0.050952956,29.663913727,-6.782950401,0.010163535,5.917031288,0.000612669,-0.138526022,-0.003906292,0.990350962,24.496662140,0.137351081,-37.875080109
63,-34.283313751,0.048947934,30.574289322,-6.838458538,0.009763596,6.098622799,0.000731617,-0.137670726,-0.000702983,0.990477502,24.582784653,-0.058922913,-38.784622192
64,-34.381259918,0.065641478,31.474651337,-6.857995510,0.013093440,6.278217316,-0.001414083,-0.141051888,-0.003559680,0.989994824,24.160959244,0.246373445,-39.843231201
65,-34.618568420,0.044952959,32.345039368,-6.905331135,0.008966722,6.451832771,-0.003335078,-0.142790928,-0.003335069,0.989741564,24.003059387,0.399100006,-40.829010010
66,-34.892543793,0.077162713,33.372447968,-6.959980965,0.015391570,6.656768799,-0.001215180,-0.144557878,-0.003833097,0.989488125,23.827426910,0.242457524,-41.978515625
67,-35.180572510,-0.025766402,34.272266388,-7.017433643,-0.005139599,6.836254597,-0.009614712,-0.141856074,-0.007772827,0.989810109,24.072315216,1.240280628,-42.779975891
68,-34.851650238,-0.144497484,35.208049774,-6.951823711,-0.028822768,7.022914410,-0.017860407,-0.166555226,-0.014081464,0.985769808,21.268306732,2.395219088,-44.668907166
69,-35.053726196,-0.136931658,36.215110779,-6.992131710,-0.027313622,7.223792076,-0.016428404,-0.166534021,-0.021507015,0.985664129,21.104745865,2.728736162,-45.680583954
70,-34.252971649,-0.746815622,36.904964447,-6.832406044,-0.148966566,7.361396313,-0.058405221,-0.214477554,-0.022915658,0.974711835,15.477485657,6.975727558,-47.403964996
71,-35.753238678,-0.596266687,37.297473907,-7.131662846,-0.118936718,7.439689636,-0.054256916,-0.046380982,-0.016998852,0.997304380,31.984844208,5.970999718,-40.129261017
72,-36.165306091,0.191804707,38.935714722,-7.213857651,0.038259093,7.766468048,-0.011205916,0.065030366,-0.008656181,0.997782707,40.849071503,1.296111465,-33.957675934
73,-35.031078339,-0.001368165,39.629058838,-6.987614155,-0.000272907,7.904768944,-0.010046648,0.139483780,-0.009793852,0.990124941,44.554607391,1.480486870,-28.463806152
74,-35.084339142,0.143137708,40.393066406,-6.998238087,0.028551536,8.057164192,-0.001048204,0.256054848,-0.001246083,0.966660857,50.448669434,0.029955098,-17.816761017
75,-34.327896118,0.157538623,40.959312439,-6.847351074,0.031424072,8.170113564,0.004628676,0.346690685,-0.001242906,0.937967300,52.699966431,-0.289613366,-8.884706497
76,-33.858032227,0.093146175,41.156093597,-6.753627777,0.018579774,8.209364891,-0.000782701,0.439357996,-0.002008960,0.898309529,53.279396057,0.136054203,1.347586632
77,-33.784408569,0.028874457,41.056076050,-6.738942146,0.005759559,8.189414024,-0.001797912,0.528049171,-0.001310603,0.849210858,51.796344757,0.164638802,12.017719269
78,-33.695156097,-0.028085649,40.979110718,-6.721138954,-0.005602216,8.174061775,-0.000886077,0.612297356,0.000326057,0.790626943,48.168338776,0.015253847,22.243911743
79,-33.698646545,-0.009060271,40.756656647,-6.721835136,-0.001807243,8.129689217,-0.001689195,0.688354850,0.000197619,0.725372195,42.562091827,0.010320112,31.392118454
80,-33.690963745,-0.029671084,40.606266022,-6.720303059,-0.005918461,8.099691391,-0.001059289,0.758414268,0.000582932,0.651771724,35.216312408,-0.029628895,39.294181824
81,-33.739875793,-0.058700047,40.450572968,-6.730059147,-0.011708840,8.068634987,-0.001718393,0.820927739,0.001552999,0.571027398,26.373367310,-0.119386889,45.599346161
82,-33.920333862,0.087407701,40.050430298,-6.766055107,0.017435126,7.988819122,0.000777312,0.870724678,-0.004685324,0.491748065,16.784467697,0.411168218,49.728137970
83,-34.221496582,-0.004441731,40.193790436,-6.826127529,-0.000885988,8.017415047,-0.000024606,0.914322913,0.001814785,0.404981732,6.785140514,-0.180724621,52.351585388
84,-34.121818542,-0.076279879,40.060916901,-6.806244850,-0.015215471,7.990911007,-0.000066847,0.952229738,0.003260501,0.305365294,-4.432591438,-0.244075924,52.436416626
85,-33.638999939,-0.056321971,39.216697693,-6.709937572,-0.011234487,7.822515488,0.000417204,0.963612556,0.003442950,0.267280608,-8.599606514,-0.248487458,50.946792603
86,-33.150497437,-0.008531759,38.277938843,-6.612496376,-0.001701821,7.635262012,0.000492612,0.963333666,0.000972297,0.268304080,-8.558155060,-0.059727799,49.908988953
87,-32.682422638,0.011187973,37.386871338,-6.519130230,0.002231654,7.457521915,0.000315815,0.962864399,0.000589134,0.269984603,-8.447240829,-0.051031295,48.933658600
88,-32.108989716,0.012029949,36.561515808,-6.404747963,0.002399602,7.292889118,0.000519321,0.963281095,0.000611348,0.268493772,-8.534924507,-0.044236634,47.904098511
89,-31.606086731,0.010911075,35.697208405,-6.304434299,0.002176421,7.120486259,0.000579361,0.963036716,0.000615246,0.269369066,-8.466300964,-0.040087800,46.919410706
90,-31.082511902,0.001498604,34.833553314,-6.199997425,0.000298925,6.948214054,0.000435768,0.962970793,0.001133309,0.269603282,-8.444425583,-0.079202414,45.913204193
91,-30.548473358,0.024489479,33.969463348,-6.093473434,0.004884892,6.775855064,0.000419334,0.963109434,0.000333002,0.269109905,-8.482604027,-0.035209045,44.888568878
92,-30.057380676,0.025515227,33.064052582,-5.995515823,0.005089497,6.595253468,0.000094673,0.962935150,-0.000398254,0.269732863,-8.474988937,0.009750878,43.870391846
93,-29.506395340,0.047508810,32.226768494,-5.885611057,0.009476535,6.428241253,0.000449433,0.963091671,-0.001109476,0.269171178,-8.489149094,0.056468677,42.858589172
94,-28.976171494,0.035223510,31.420959473,-5.779848099,0.007025999,6.267507553,0.000590590,0.963178575,-0.000183915,0.268861860,-8.480545998,0.001381388,41.888992310
95,-28.445287704,0.058547717,30.577013016,-5.673953056,0.011678454,6.099166393,0.000884472,0.963331461,-0.000989947,0.268311054,-8.510204315,0.048553284,40.882133484
96,-27.918079376,0.047492340,29.722066879,-5.568791389,0.009473249,5.928630829,0.000820677,0.963363528,-0.000748681,0.268196732,-8.510302544,0.037344899,39.875431061
97,-27.400480270,0.057701997,28.867269516,-5.465546608,0.011509759,5.758125305,0.000844581,0.963484347,-0.001250230,0.267760426,-8.543957710,0.061479475,38.868110657
98,-26.905714035,0.107535891,27.983428955,-5.366856098,0.021450076,5.581826687,0.001216798,0.963286400,-0.002579995,0.268460691,-8.520920753,0.113505177,37.867809296
99,-26.428773880,0.104581617,27.160249710,-5.271720886,0.020860791,5.417627811,0.000776139,0.963333845,-0.002244529,0.268295258,-8.551051140,0.072781697,36.913467407
100,-25.892274857,0.033214893,26.280033112,-5.164706230,0.006625342,5.242052078,0.000126862,0.963135362,-0.000403998,0.269016892,-8.493072510,-0.002888648,35.895027161
101,-25.362947464,0.030378807,25.396850586,-5.059121609,0.006059630,5.065884590,0.000042082,0.963027656,-0.000800424,0.269401520,-8.470110893,0.020960953,34.871849060
102,-24.823780060,0.045798168,24.546503067,-4.951574802,0.009135314,4.896266460,0.000395831,0.963155866,-0.001336756,0.268940359,-8.482839584,0.048768468,33.856788635
103,-24.287580490,0.057357814,23.710556030,-4.844619274,0.011441106,4.729520798,0.000608193,0.963361919,-0.001713897,0.268198788,-8.507843971,0.063831232,32.850669861
104,-23.843433380,0.098142453,22.909027100,-4.756025791,0.019576376,4.569640636,0.000631062,0.963495851,-0.002019197,0.267714798,-8.573616028,0.037891887,31.926187515
105,-23.320131302,0.063112378,21.990085602,-4.651643276,0.012588963,4.386340618,0.000201837,0.963170469,-0.001471933,0.268887550,-8.524124146,0.024222055,30.889417648
106,-22.784029007,0.055102397,21.184192657,-4.544707298,0.010991220,4.225589752,0.000223477,0.963341773,-0.000815251,0.268275678,-8.521066666,-0.004805490,29.911327362
107,-22.276119232,0.084632769,20.331871033,-4.443395138,0.016881613,4.055577755,0.000451270,0.963343203,-0.001349457,0.268268317,-8.527166367,-0.001374463,28.918806076
108,-21.749076843,0.088434629,19.480691910,-4.338266373,0.017639967,3.885794163,0.000570818,0.963365197,-0.001555932,0.268187702,-8.520577431,0.005908666,27.916042328
109,-21.241291046,0.117960855,18.618858337,-4.236979008,0.023529533,3.713885069,0.000899738,0.963805377,-0.002373200,0.266594917,-8.619879723,0.021883907,26.887287140
110,-20.793209076,0.083832152,17.766490936,-4.147600651,0.016721915,3.543864250,0.000292917,0.964185596,-0.001341107,0.265225172,-8.746781349,-0.014264264,25.900627136
111,-20.310428619,0.091113612,16.868259430,-4.051301003,0.018174341,3.364694834,0.000386585,0.969114780,-0.001675152,0.246603891,-9.741856575,-0.007689425,24.524871826
112,-20.179565430,0.054886505,16.044715881,-4.025197506,0.010948156,3.200423479,0.000378414,0.988856733,-0.000619671,0.148868680,-14.520503044,-0.018393455,21.284938812
113,-20.123270035,0.025548816,15.155313492,-4.013968468,0.005096197,3.023015261,0.001152919,0.998787045,-0.000440896,0.049222182,-18.492513657,0.033050343,17.082426071
114,-20.350988388,-0.024561346,14.270797729,-4.059391499,-0.004899227,2.846581697,0.001564017,0.998705387,0.000061896,-0.050842039,-21.652200699,0.088447452,12.165799141
115,-20.549520493,-0.034325637,13.288047791,-4.098992348,-0.006846901,2.650553703,0.001347873,0.996820748,0.000840517,-0.079660296,-22.355688095,0.072482876,9.896283150
116,-20.581359863,-0.058190957,12.317150116,-4.105343342,-0.011607292,2.456889629,0.002578589,0.996633172,0.002447315,-0.081912279,-22.271217346,0.116610870,8.833305359
117,-20.851415634,-0.071474001,11.301836014,-4.159211159,-0.014256847,2.254365921,0.001887360,0.996714056,0.002037690,-0.080952682,-22.354618073,0.113732621,7.831871510
118,-20.992055893,-0.062012181,10.295704842,-4.187264442,-0.012369508,2.053673983,0.002630413,0.996641576,0.002396792,-0.081809938,-22.340648651,0.134796426,6.779001713
119,-21.217948914,-0.012806103,9.261487961,-4.232323170,-0.002554420,1.847379684,0.002798826,0.996730685,0.000274354,-0.080746658,-22.380479813,0.130735904,5.770363331
120,-21.292432785,-0.140803486,8.274984360,-4.247180462,-0.028085930,1.650602818,0.004221312,0.996609211,0.004929808,-0.082023770,-22.304573059,0.260281920,4.730493069
